epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.22873,2.48808,7.10512,2.36824,0.01908,0.16667,0.05838,0.02953,2.20508,4.55539,2.41774,0,0,0
2,17.4285,1.99025,6.7295,2.23745,0.02133,0.16667,0.05799,0.04043,2.20296,4.47791,2.41059,1.12625e-05,1.12625e-05,1.12625e-05
3,27.0629,2.44458,6.6046,2.26599,0.6347,0.16667,0.08656,0.0682,2.23387,4.46002,2.39497,2.005e-05,2.005e-05,2.005e-05
4,35.0869,1.87074,5.85605,1.96853,0.65234,0.16667,0.17013,0.13521,2.12054,4.59939,2.34689,2.63625e-05,2.63625e-05,2.63625e-05
5,44.6805,2.18323,6.50799,2.0681,0.82859,0.16667,0.17066,0.13541,2.02671,4.80868,2.32316,3.02e-05,3.02e-05,3.02e-05
6,52.4349,2.02773,4.99678,1.92812,0.88439,0.16667,0.1714,0.15212,1.94674,4.82394,2.27947,3.15625e-05,3.15625e-05,3.15625e-05
7,59.5923,1.8209,4.63262,2.12083,0.78459,0.16667,0.17727,0.15377,1.96964,4.98926,2.26884,3.045e-05,3.045e-05,3.045e-05
8,67.0827,1.81535,4.65928,1.99236,0.58252,0.16667,0.18306,0.17373,2.0071,5.1996,2.26766,2.68625e-05,2.68625e-05,2.68625e-05
9,74.9013,1.51911,4.9282,1.89887,0.5437,0.16667,0.12513,0.09565,2.01614,5.37307,2.25529,2.08e-05,2.08e-05,2.08e-05
10,82.6767,1.65039,4.313,1.84404,0.51309,0.16667,0.11939,0.07408,2.03485,5.52927,2.26949,1.22625e-05,1.22625e-05,1.22625e-05
