epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09956,1.39323,4.16235,1.70721,0.00315,0.5,0.00854,0.00332,1.88975,5.3036,2.23145,0,0,0
2,8.49678,1.71279,4.49708,1.89021,0.00311,0.5,0.00796,0.00314,1.90487,5.3202,2.23673,1.18812e-05,1.18812e-05,1.18812e-05
3,11.9405,2.45802,4.78434,2.43152,0.00302,0.5,0.01115,0.00352,1.93478,5.31348,2.26983,2.2525e-05,2.2525e-05,2.2525e-05
4,15.413,1.84727,4.58461,2.0341,0.00296,0.5,0.01341,0.00407,1.9207,5.31028,2.26642,3.19313e-05,3.19313e-05,3.19313e-05
5,18.8331,2.03779,4.05398,2.1201,0.0029,0.5,0.0163,0.00557,1.90808,5.31404,2.27235,4.01e-05,4.01e-05,4.01e-05
6,22.3499,1.38807,3.74651,1.71777,0.00287,0.5,0.02291,0.00952,1.9092,5.2689,2.25738,4.70313e-05,4.70313e-05,4.70313e-05
7,25.9881,1.41973,4.10646,1.78484,0.00283,0.5,0.04617,0.01985,1.93157,5.17266,2.24463,5.2725e-05,5.2725e-05,5.2725e-05
8,29.4717,2.21536,4.74982,2.24972,0.00279,0.5,0.08752,0.03565,1.99527,5.09638,2.2737,5.71813e-05,5.71813e-05,5.71813e-05
9,32.9313,2.00517,4.27633,1.88437,0.00277,0.5,0.08745,0.03829,2.00453,5.06709,2.24518,6.04e-05,6.04e-05,6.04e-05
10,36.4806,2.2821,4.29563,2.21528,0.00281,0.5,0.17125,0.08042,2.01127,4.98936,2.26933,6.23813e-05,6.23813e-05,6.23813e-05
11,40.131,1.52204,4.97366,1.81984,0.00374,0.66667,0.17194,0.07683,1.95578,5.02076,2.2066,6.3125e-05,6.3125e-05,6.3125e-05
12,43.6549,1.80607,5.19071,2.234,0.0038,0.66667,0.17189,0.1022,1.94269,4.97982,2.21231,6.26313e-05,6.26313e-05,6.26313e-05
13,47.2547,2.1171,5.13775,2.48893,0.00385,0.66667,0.17221,0.10223,1.85978,5.00137,2.12549,6.09e-05,6.09e-05,6.09e-05
14,51.5616,1.33019,4.76574,1.688,0.00304,0.5,0.1701,0.1526,1.81936,4.97136,2.0602,5.79313e-05,5.79313e-05,5.79313e-05
15,56.5822,1.6031,4.95799,1.82741,0.00325,0.5,0.17053,0.15311,1.84783,4.93659,2.05119,5.3725e-05,5.3725e-05,5.3725e-05
16,62.0403,1.89671,4.76721,2.02419,0.0034,0.5,0.1716,0.15374,1.85474,5.01775,2.02642,4.82812e-05,4.82812e-05,4.82812e-05
17,66.581,1.72181,4.89893,1.8069,0.00361,0.5,0.17255,0.15438,1.78428,4.87614,1.96215,4.16e-05,4.16e-05,4.16e-05
18,70.2025,1.6281,4.67298,2.00723,0.00361,0.5,0.17255,0.15438,1.78428,4.87614,1.96215,3.36813e-05,3.36813e-05,3.36813e-05
19,73.7777,1.56028,5.08842,1.81336,0.00367,0.5,0.17223,0.1543,1.73916,4.81007,1.91071,2.4525e-05,2.4525e-05,2.4525e-05
20,77.4021,1.23332,4.66054,1.54987,0.00367,0.5,0.17223,0.1543,1.73916,4.81007,1.91071,1.41313e-05,1.41313e-05,1.41313e-05
